Date,Day of the week,App (Use all CAPITALS),Minutes,Category
08/24/2023,Thursday,INSTAGRAM,123,Social Media
08/24/2023,Thursday,TIKTOK,72,Social Media
08/24/2023,Thursday,MESSAGES,13,Other
08/25/2023,Friday,TIKTOK,84,Social Media
08/25/2023,Friday,INSTAGRAM,34,Social Media
08/25/2023,Friday,YOUTUBE,21,Entertainment
08/26/2023,Saturday,TIKTOK,84,Social Media
08/26/2023,Saturday,INSTAGRAM,33,Social Media
08/26/2023,Saturday,SAFARI,7,Education
08/27/2023,Sunday,GOOGLE MAPS,155,Travel
08/27/2023,Sunday,TIKTOK,61,Social Media
08/27/2023,Sunday,INSTAGRAM,51,Social Media
08/28/2023,Monday,TIKTOK,46,Social Media
08/28/2023,Monday,INSTAGRAM,43,Social Media
08/28/2023,Monday,CANVAS STUDENT,23,Education
08/29/2023,Tuesday,INSTAGRAM,144,Social Media
08/29/2023,Tuesday,TIKTOK,75,Social Media
08/29/2023,Tuesday,ZOOM,26,Education
08/30/2023,Wednesday,INSTAGRAM,154,Social Media
08/30/2023,Wednesday,TIKTOK,67,Social Media
08/30/2023,Wednesday,MESSAGES,26,Other
08/31/2023,Thursday,INSTAGRAM,78,Social Media
08/31/2023,Thursday,TIKTOK,77,Social Media
08/31/2023,Thursday,CANVAS STUDENT,20,Education